rank,company,revenue,profit,num. of employees,sector,city,state,Website
83,General Dynamics,39350,3484,102900,Aerospace & Defense,Reston,VA,https://www.gd.com
84,Deere,39258,3253,73489,Industrials,Moline,IL,https://www.deere.com
85,Nike,39117,4029,76700,Apparel,Beaverton,OR,https://www.nike.com
86,Progressive,39022.3,3970.3,41571,Financials,Mayfield Village,OH,https://www.progressive.com
87,Publix Super Markets,38462.8,3005.4,207000,Food & Drug Stores,Lakeland,FL,https://www.publix.com
88,Coca-Cola,37266,8920,86200,"Food, Beverages & Tobacco",Atlanta,GA,https://www.coca-colacompany.com
89,Massachusetts Mutual Life,37253.4,3700.7,9896,Financials,Springfield,MA,https://www.massmutual.com
90,Tech Data,36998.4,374.5,15000,Wholesalers,Clearwater,FL,https://www.techdata.com
91,World Fuel Services,36819,178.9,5500,Energy,Miami,FL,https://www.wfscorp.com
92,Honeywell International,36709,6143,113000,Industrials,Charlotte,NC,https://www.honeywell.com
93,ConocoPhillips,36670,7189,10400,Energy,Houston,TX,https://www.conocophillips.com
94,USAA,35617.4,4006.3,35076,Financials,San Antonio,TX,https://www.usaa.com
95,Exelon,34438,2936,32713,Energy,Chicago,IL,https://www.exeloncorp.com
96,Northrop Grumman,33841,2248,90000,Aerospace & Defense,Falls Church,VA,https://www.northropgrumman.com
97,Capital One Financial,33766,5546,51900,Financials,McLean,VA,https://www.capitalone.com
98,Plains GP Holdings,33669,331,5000,Energy,Houston,TX,https://www.plainsallamerican.com
99,AbbVie,33266,7882,30000,Health Care,North Chicago,IL,https://www.abbvie.com
100,StoneX Group,32897,85.1,2012,Financials,New York,NY,https://www.stonex.com
101,Enterprise Products Partners,32789.2,4591.3,7300,Energy,Houston,TX,https://www.enterpriseproducts.com
102,Northwestern Mutual,32293.6,1268,5964,Financials,Milwaukee,WI,https://www.northwesternmutual.com
103,3M,32136,4570,96163,Chemicals,St. Paul,MN,https://www.3m.com
104,Abbott Laboratories,31904,3687,107000,Health Care,Abbott Park,IL,https://www.abbott.com
105,CHS,31900.5,829.9,10703,"Food, Beverages & Tobacco",Inver Grove Heights,MN,https://www.chsinc.com
106,Travelers Cos.,31581,2622,30800,Financials,New York,NY,https://www.travelers.com
107,Philip Morris International,29805,7185,73500,"Food, Beverages & Tobacco",New York,NY,https://www.pmi.com
108,Raytheon,29176,3343,70000,Aerospace & Defense,Waltham,MA,https://www.rtx.com
109,Hewlett Packard Enterprise,29135,1049,61600,Technology,San Jose,CA,https://www.hpe.com
110,Arrow Electronics,28916.8,-204.1,19300,Wholesalers,Centennial,CO,https://www.arrow.com
111,ViacomCBS,27812,3308,26280,Media,New York,NY,https://www.viacbs.com
112,Dollar General,27754,1712.6,143000,Retailing,Goodlettsville,TN,https://www.dollargeneral.com
113,U.S. Bancorp,27325,6914,69651,Financials,Minneapolis,MN,https://www.usbank.com
114,Starbucks,26508.6,3599.2,346000,"Hotels, Restaurants & Leisure",Seattle,WA,https://www.starbucks.com
115,Bristol-Myers Squibb,26145,3439,30000,Health Care,New York,NY,https://www.bms.com
116,US Foods Holding,25939,385,28000,Wholesalers,Rosemont,IL,https://www.usfoods.com
117,Mondelez International,25868,3870,80000,"Food, Beverages & Tobacco",Deerfield,IL,https://www.mondelezinternational.com
118,Paccar,25599.7,2387.9,27000,Industrials,Bellevue,WA,https://www.paccar.com
119,Thermo Fisher Scientific,25542,3696,75000,Technology,Waltham,MA,https://www.thermofisher.com
120,Macy&#8217;s,25331,564,123000,Retailing,New York,NY,https://www.macysinc.com
121,Jabil,25282.3,287.1,200000,Technology,St. Petersburg,FL,https://www.jabil.com
122,Kraft Heinz,24977,1935,37000,"Food, Beverages & Tobacco",Chicago,IL,https://www.kraftheinzcompany.com
123,Duke Energy,24658,3748,28793,Energy,Charlotte,NC,https://www.duke-energy.com
124,Tesla,24578,-862,48016,Motor Vehicles & Parts,Palo Alto,CA,https://www.tesla.com
125,PBF Energy,24508.2,319.4,3442,Energy,Parsippany,NJ,https://www.pbfenergy.com
126,Qualcomm,24273,4386,37000,Technology,San Diego,CA,https://www.qualcomm.com
127,NGL Energy Partners,24087.8,360,1300,Energy,Tulsa,OK,https://www.nglenergypartners.com
128,CBRE Group,23894.1,1282.4,100000,Financials,Los Angeles,CA,https://www.cbre.com
129,Baker Hughes,23838,128,68000,Energy,Houston,TX,https://www.bakerhughes.com
130,Synnex,23757.3,500.7,240900,Wholesalers,Fremont,CA,https://www.synnexcorp.com
131,Dollar Tree,23610.8,827,125000,Retailing,Chesapeake,VA,https://www.dollartree.com
132,Cummins,23571,2260,61615,Industrials,Columbus,IN,https://www.cumminseurope.com/
